Protein.Group	Protein.Names	Genes	First.Protein.Description	/ip-proteomics/ms-convert-output/2ul_CG_1.mzML	/ip-proteomics/ms-convert-output/2ul_CG_2.mzML	/ip-proteomics/ms-convert-output/2ul_CG_3.mzML	/ip-proteomics/ms-convert-output/2ul_CG_4.mzML	/ip-proteomics/ms-convert-output/2ul_CG_5.mzML	/ip-proteomics/ms-convert-output/2ul_CG_6.mzML	/ip-proteomics/ms-convert-output/2ul_CG_7.mzML	/ip-proteomics/ms-convert-output/2ul_CG_8.mzML	/ip-proteomics/ms-convert-output/2ul_CG_9.mzML	/ip-proteomics/ms-convert-output/2ul_CG_10.mzML
Q9D4F8	GCP4_MOUSE	Tubgcp4	Gamma-tubulin complex component 4	227.739									
Q9D4H1	EXOC2_MOUSE	Exoc2	Exocyst complex component 2	8940.22	22093.8	8608.06	9776.97	9374.37	9076.71	9029.84	9310.48	8430.34	8999.25
Q9D4H8	CUL2_MOUSE	Cul2	Cullin-2	6225.76			8967.56				9201.71	10902.2	
Q9D4H9	PHF14_MOUSE	Phf14	PHD finger protein 14	1394.61		2590.81		3784.89		2671.18	1157.63		
Q9D4J1	EFHD1_MOUSE	Efhd1	EF-hand domain-containing protein D1	2908.91		4705.62							
Q9D517	PLCC_MOUSE	Agpat3	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	704.299									
Q9D554	SF3A3_MOUSE	Sf3a3	Splicing factor 3A subunit 3	2574.62	7098.83	6551.41	4702.64	11242.4	3944.85	4256.9	1602.21	3440.62	2622.34
Q9D5T0	ATAD1_MOUSE	Atad1	Outer mitochondrial transmembrane helix translocase	232.398		458.671						427.769	
Q9D5V5	CUL5_MOUSE	Cul5	Cullin-5	3243.24	5021.04	2607.28		3658.08		5125.41	5765.98	5145	5184.44
Q9D658	TP4A3_MOUSE	Ptp4a3	Protein tyrosine phosphatase type IVA 3	394.802									
Q9D666	SUN1_MOUSE	Sun1	SUN domain-containing protein 1	734.935		4031.95		8278.71				2023.32	
Q9D6F4	GBRA4_MOUSE	Gabra4	Gamma-aminobutyric acid receptor subunit alpha-4	3021.58		4482.64	5108.07	6808.51	4757.62	9191.08	4169.92	4346.58	8756.93
Q9D6F9	TBB4A_MOUSE	Tubb4a	Tubulin beta-4A chain	96651	68717.7	57884.3	63514.8	64278.4	67888.7	49518.9	47777	47626.4	47321.5
Q9D6J5	NDUB8_MOUSE	Ndufb8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	2539.32									
Q9D6J6	NDUV2_MOUSE	Ndufv2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	4057.87		4528.58	2767.03	3120.96	4560.4	5766.98	3922.8	3184.24	4437.47
Q9D6K5	SYJ2B_MOUSE	Synj2bp	Synaptojanin-2-binding protein	2785.24									
Q9D6M3	GHC1_MOUSE	Slc25a22	Mitochondrial glutamate carrier 1	83784	146277	81146.4	77828.6	89982.3	83042	87648.9	70832.4	74380.6	73126.8
Q9D6P8	CALL3_MOUSE	Calml3	Calmodulin-like protein 3	199396	234900	282477	261838	337869	255263	254372	291595	272977	276946
Q9D6R2	IDH3A_MOUSE	Idh3a	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	839.887	12197.5	2176.82		2456.83	3557.87	3254.04	1815.64	1702.59	1732.6
Q9D6Z1	NOP56_MOUSE	Nop56	Nucleolar protein 56	6314.24	18632.4	11137.9	10265.2	13029.1	9532.11	8192.36	6033.3	7035.38	6239.53
Q9D700	DUS26_MOUSE	Dusp26	Dual specificity protein phosphatase 26	3048.06									
Q9D710	TMX2_MOUSE	Tmx2	Thioredoxin-related transmembrane protein 2	267.11	1799.23								
Q9D7B6	ACAD8_MOUSE	Acad8	Isobutyryl-CoA dehydrogenase, mitochondrial	16430.2		20280.3	20580.4				20522.3	19833.5	19953.8
Q9D7G0	PRPS1_MOUSE	Prps1	Ribose-phosphate pyrophosphokinase 1	14953.9		15624.3		17182.2	17262	14883.2	12511.4	10046.3	13108.1
Q9D7N3	RT09_MOUSE	Mrps9	Small ribosomal subunit protein uS9m	6916.98	7836.14	6094.11	5825.54	6833.07	6397.28	7161.13	6545.37	7781.6	7538.89
Q9D7N6	RM30_MOUSE	Mrpl30	Large ribosomal subunit protein uL30m	716.097	15238.7	1113.21	1821.91	2170.6	2865.28	2609.99	1703.32		2364.56
Q9D7S7	RL22L_MOUSE	Rpl22l1	Ribosomal protein eL22-like 1	6202.47	50149.8	10188.9	12602.3	16689.9	13074.7	17176.4	10608.2	8781.01	10077.8
Q9D7X1	KCTD4_MOUSE	Kctd4	BTB/POZ domain-containing protein KCTD4	983.455			4280.06		1888.89		2011.34		
Q9D7X3	DUS3_MOUSE	Dusp3	Dual specificity protein phosphatase 3	8892.29					28003.8				11862.5
Q9D819	IPYR_MOUSE	Ppa1	Inorganic pyrophosphatase								4453.84		
Q9D824	FIP1_MOUSE	Fip1l1	Pre-mRNA 3'-end-processing factor FIP1	2279.92		7707.71		5898.85	8371.35	6703.57		4984.03	
Q9D832	DNJB4_MOUSE	Dnajb4	DnaJ homolog subfamily B member 4	891.252		1290.52					1380.49	1127.29	
Q9D856	S39A5_MOUSE	Slc39a5	Zinc transporter ZIP5			34703	3179	57297.6		40460.3			
Q9D880	TIM50_MOUSE	Timm50	Mitochondrial import inner membrane translocase subunit TIM50	5485.02									
Q9D883	U2AF1_MOUSE	U2af1	Splicing factor U2AF 35 kDa subunit	1094.08	10583	1533.77		2946.82	1864.45	2734.05	1719.99	1431.43	1547.79
Q9D898	ARP5L_MOUSE	Arpc5l	Actin-related protein 2/3 complex subunit 5-like protein	54649.8	42893.4	54846.8	53721.5	50378.4	48951.7	56010	61931.2	68338.2	58205.2
Q9D8B3	CHM4B_MOUSE	Chmp4b	Charged multivesicular body protein 4b	5858.3	6717.11	4061.78	4427.66	4977.75	5581.35	3305.77	4382.2	3521.07	3704.58
Q9D8B4	NDUAB_MOUSE	Ndufa11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	1903.65		2548.23			2949.22		2941.66	2365.68	
Q9D8E6	RL4_MOUSE	Rpl4	Large ribosomal subunit protein uL4	140168	50809.5	77960.7	75518.4	82721.7	59074.2	79382.5	90878.9	90739.8	92643.3
Q9D8N0	EF1G_MOUSE	Eef1g	Elongation factor 1-gamma	79410	53274.4	36762.3	30203.8	39310.9	33685.7	39635.1	38876	32938.6	26985.2
Q9D8P4	RM17_MOUSE	Mrpl17	Large ribosomal subunit protein bL17m	1389.47		1976.39	3742.19		2081.84		1801.57	1574.85	2599.06
Q9D8S3	ARFG3_MOUSE	Arfgap3	ADP-ribosylation factor GTPase-activating protein 3	1382.44					2619.87	3307.04	1772.45	1582.31	
Q9D8W5	PSD12_MOUSE	Psmd12	26S proteasome non-ATPase regulatory subunit 12	8849.68	12016.1	12045.7	11779.9	10708.5	14493.3	13091.7	12593.2	11593.4	12461.5
Q9D8W7	OCAD2_MOUSE	Ociad2	OCIA domain-containing protein 2	889.862	1625.67	557.465			2073.42				671.373
Q9D8Y0	EFHD2_MOUSE	Efhd2	EF-hand domain-containing protein D2	133669	94327.2	138749	121405	122178	120101	124575	142077	148057	132483
Q9D8Z1	ASCC1_MOUSE	Ascc1	Activating signal cointegrator 1 complex subunit 1	7247.09									
Q9D8Z6	ATGA1_MOUSE	Atg101	Autophagy-related protein 101	144.074									
Q9D903	EBP2_MOUSE	Ebna1bp2	Probable rRNA-processing protein EBP2	488.701									
Q9D906	ATG7_MOUSE	Atg7	Ubiquitin-like modifier-activating enzyme ATG7	5237.77		8214.85		11297.7		10729.4	5298.49		
Q9D938	TM160_MOUSE	Tmem160	Transmembrane protein 160	1227.26		767.434			2492.15	1556.74	1434.22	1376.42	1843.66
Q9D952	EVPL_MOUSE	Evpl	Envoplakin							1547.63	3491.15		
Q9D9G3	CHIC2_MOUSE	Chic2	Cysteine-rich hydrophobic domain-containing protein 2	562.546		1008.9		648.431			980.921	1331.3	
Q9D9M2	UBP12_MOUSE	Usp12	Ubiquitin carboxyl-terminal hydrolase 12	1979.92		3795.26			6200.96		4668.93	4026.4	
Q9D9T8	EFHC1_MOUSE	Efhc1	EF-hand domain-containing protein 1	1238.66		1753.67	1587.45					1787.02	
Q9D9V4	RSPH9_MOUSE	Rsph9	Radial spoke head protein 9 homolog	1927.57				4092.52		3329.98	2064.3		
Q9DAK2	PACRG_MOUSE	Pacrg	Parkin coregulated gene protein homolog	1992.49									
Q9DAK9	PHP14_MOUSE	Phpt1	14 kDa phosphohistidine phosphatase	813.256									
Q9DAM5	TPC_MOUSE	Slc25a19	Mitochondrial thiamine pyrophosphate carrier	286.976			781.45	700.303					
Q9DAS9	GBG12_MOUSE	Gng12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	18337.2	9194.56	10481.8	12845	12147.7	11246.5	14047.2	10608	12365.2	9104.82
Q9DAW6	PRP4_MOUSE	Prpf4	U4/U6 small nuclear ribonucleoprotein Prp4	617.386		2233.91							
Q9DB05	SNAA_MOUSE	Napa	Alpha-soluble NSF attachment protein	2165.3		2657.72		6469.01	4385.73		3951.41	2718.01	
Q9DB15	RM12_MOUSE	Mrpl12	Large ribosomal subunit protein bL12m	3033.18		2906.31	2941.12	3015.26	3335.47	3870.53	2992.47	2602.83	3066.45
Q9DB20	ATPO_MOUSE	Atp5po	ATP synthase subunit O, mitochondrial	25760.3	73101	28829.2	30536.8	26631.8	32061.7	31622.9	27833	25182.2	27529
Q9DB34	CHM2A_MOUSE	Chmp2a	Charged multivesicular body protein 2a	4892.45		3173.56	4309.15	3491.98	3037.49	3295.31	3055.93	2924.77	2895.68
Q9DB41	GHC2_MOUSE	Slc25a18	Mitochondrial glutamate carrier 2	4917.55		3918.53	7475.77	7161.58	5251.16	5281.23	4516.59	3596.63	
Q9DB72	BTBDH_MOUSE	Btbd17	BTB/POZ domain-containing protein 17	3351.76	3811.98	2657.3	3022.36	2649.98	1921.65	2860.81	3143.1	2704.86	3579.99
Q9DB77	QCR2_MOUSE	Uqcrc2	Cytochrome b-c1 complex subunit 2, mitochondrial	17811.2	41990.1	21176.1	30922.2	26652.3	32930.7	23381.7	25079.5	19063.7	30040.6
Q9DBC7	KAP0_MOUSE	Prkar1a	cAMP-dependent protein kinase type I-alpha regulatory subunit	47977.3	25476.2	27930.4	28138.3	32307.6	25008.2	28783.2	22735.7	24807.4	24846.8
Q9DBE8	ALG2_MOUSE	Alg2	Alpha-1,3/1,6-mannosyltransferase ALG2	14242.3	19500.4	21000.5			18248.4	25308.5	17006.3	17939	38851
Q9DBF1	AL7A1_MOUSE	Aldh7a1	Alpha-aminoadipic semialdehyde dehydrogenase			11492.6		18415.9		16749.5		14283.6	
Q9DBG3	AP2B1_MOUSE	Ap2b1	AP-2 complex subunit beta	296306	164233	204522	190228	199487	185117	199481	193318	194738	191734
Q9DBG6	RPN2_MOUSE	Rpn2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	1283.28		2227.93	3711.94		3354.74	3311.97	5554.58		
Q9DBH0	WWP2_MOUSE	Wwp2	NEDD4-like E3 ubiquitin-protein ligase WWP2	10654.8	25841.2	12722.3	18297.2	16780.2	18686.9	13804.2	17616.6	11989.7	19112
Q9DBJ1	PGAM1_MOUSE	Pgam1	Phosphoglycerate mutase 1	8098.75	28502.1	8434.6		10578.1	9279.03	10892.4	16557.8	7775.05	8111.99
Q9DBL1	ACDSB_MOUSE	Acadsb	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	1074.92		1645.67							
Q9DBN5	LONP2_MOUSE	Lonp2	Lon protease homolog 2, peroxisomal	541.125		762.28		1112.05					
Q9DBR2	FA13C_MOUSE	Fam13c	Protein FAM13C	1433.29	11058	3341.72	5274.96	2184.78	2539.55	5310.77	2436.75	2404.87	2903.94
Q9DBR3	ARMC8_MOUSE	Armc8	Armadillo repeat-containing protein 8	7944.06	10649.8	10726.3	13560.1	11832.2	10675.3	9031.19	9073.19	8955.27	9489.16
Q9DBR7	MYPT1_MOUSE	Ppp1r12a	Protein phosphatase 1 regulatory subunit 12A	15466.7	18145.8	16625.1	17797.6	18672.4	17211	18423	17455.7	18088.7	16211.9
Q9DBT5	AMPD2_MOUSE	Ampd2	AMP deaminase 2	6898.76		6189.13	10210.3	9385.3	11381.9	7898.81	9721.24	7077.3	7845.21
Q9DBZ5	EIF3K_MOUSE	Eif3k	Eukaryotic translation initiation factor 3 subunit K	8431.25		8609.04				8273.8	10579.3	6883.47	
Q9DC23	DJC10_MOUSE	Dnajc10	DnaJ homolog subfamily C member 10	1860.47		3024.57		2743.6		1612.3	1999.76	1613.21	2819.39
Q9DC28	KC1D_MOUSE	Csnk1d	Casein kinase I isoform delta	35050	30814.4	31582.4	30193.7	30034.4	30802.6	30929.4	30250.5	30354.9	30452.3
Q9DC29	ABCB6_MOUSE	Abcb6	ATP-binding cassette sub-family B member 6					18495.4		20618.2		12336.3	21508.8
Q9DC33	HM20A_MOUSE	Hmg20a	High mobility group protein 20A	629.291		1806.29		3590.6	1860.35			1306.77	
Q9DC51	GNAI3_MOUSE	Gnai3	Guanine nucleotide-binding protein G(i) subunit alpha-3	22985.5	48821.9	22333.5	22626.3	22418.1	27444.7	21721.4	22801.6	20973.8	23103
Q9DC61	MPPA_MOUSE	Pmpca	Mitochondrial-processing peptidase subunit alpha	2456.08				6989.85					
Q9DC69	NDUA9_MOUSE	Ndufa9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	7519.06	13579.6	7104.38	10110.2	8199.21	10561.6	9280.52	7909.42	8310.12	8479.24
Q9DC70	NDUS7_MOUSE	Ndufs7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	5820.32	10290.1	6546.86	5048.28	7039.8	5886.26	6131.08	5542.47	5492.55	5384.47
Q9DC71	RT15_MOUSE	Mrps15	Small ribosomal subunit protein uS15m	11361.9	17471.6	9869.26	9560.97	8689.62	8250.82	10832.7	12512.2	10680.8	10600.4
Q9DCA2	RT11_MOUSE	Mrps11	Small ribosomal subunit protein uS11m	10201.2		9848.83	9538.35	9190.8	8516.43	10749.6	11183.7	11451.7	12880.2
Q9DCC8	TOM20_MOUSE	Tomm20	Mitochondrial import receptor subunit TOM20 homolog	9193.53		8639.28						5864.56	
Q9DCH4	EIF3F_MOUSE	Eif3f	Eukaryotic translation initiation factor 3 subunit F	10489.3		10976	13554.7	16651.1	11717	10791.1	14963.5	10024.4	10856.8
Q9DCI9	RM32_MOUSE	Mrpl32	Large ribosomal subunit protein bL32m	3013.58	18836.4	5117.34	5857.25	6130.33	5031.2	6486.86	5996.96	3936.62	6171.78
Q9DCJ1	LST8_MOUSE	Mlst8	Target of rapamycin complex subunit LST8	1549.28									
Q9DCJ5	NDUA8_MOUSE	Ndufa8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	6678.61	11063.4	8386.28	7051.99	7963.6	8767.3	8906.57	10068	6961.87	5742.79
Q9DCJ7	AKIP_MOUSE	Aurkaip1	Small ribosomal subunit protein mS38	2174.48		2909.29		2538.1	2096.22	3296.96			
Q9DCL9	PUR6_MOUSE	Paics	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	3754.18		4883.15	9560.63		8156.74	5503.57	9259.46		4753.8
Q9DCM4	DNAL4_MOUSE	Dnal4	Dynein axonemal light chain 4	5507.5		6735.29	3665.05	6413.71		7502.11	4178.15	4483.83	5797.6
Q9DCR2	AP3S1_MOUSE	Ap3s1	AP-3 complex subunit sigma-1	5066.95	49162.3	6911.37	9355.01	8741.54	7423.15	8121.13	6900.89	6003.44	8827.33
Q9DCS9	NDUBA_MOUSE	Ndufb10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	1813.91		2019.53	6063.72	4607.93	3941.03		3694.75	3140.23	4631.71
Q9DCT2	NDUS3_MOUSE	Ndufs3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	9435.49	24637.6	9958.35	9941.69	12716.9	13074.7	12181.3	10259.6	9864.71	10349.3
Q9DCT8	CRIP2_MOUSE	Crip2	Cysteine-rich protein 2	1181.32				1809.43	1192.51		2512.04		
Q9DCU2	PLLP_MOUSE	Pllp	Plasmolipin	2640.74		2414.77		3031.71	2911.4	1567.37	2675.91	2490.49	2250.4
Q9DCU6	RM04_MOUSE	Mrpl4	Large ribosomal subunit protein uL4m	2720.56	5345.6	4182.14	4012.79	3730.44	3988.75	5212.72	3026.8	3704.66	4481.77
Q9DCX2	ATP5H_MOUSE	Atp5pd	ATP synthase subunit d, mitochondrial	7326.14	16573	5716.34	8096.29	9544.07	10298.7	7507.86	7115.41	6292.61	6727.54
Q9DCZ4	MIC26_MOUSE	Apoo	MICOS complex subunit Mic26	1163.23									
Q9EP53	TSC1_MOUSE	Tsc1	Hamartin	842.812		809.893	1261.16		1685.13	1422.86	686.538	904.84	
Q9EP69	SAC1_MOUSE	Sacm1l	Phosphatidylinositol-3-phosphatase SAC1	261.848									
Q9EP71	RAI14_MOUSE	Rai14	Ankycorbin	3473.35	12019.9	5680.52	6922.73	5339.33	5590.94	6436.96	7497.15	6652.91	6272.12
Q9EP72	EMC7_MOUSE	Emc7	Endoplasmic reticulum membrane protein complex subunit 7			2677.97				4066.26		2407.35	
Q9EP89	LACTB_MOUSE	Lactb	Serine beta-lactamase-like protein LACTB, mitochondrial	85826.8	59205.5	76642.1	67988.2	71892.9	74434.5	72939.3	80680.4	84061.8	82854.6
Q9EPJ9	ARFG1_MOUSE	Arfgap1	ADP-ribosylation factor GTPase-activating protein 1	998.251	6306.69				4582.4			2780.47	3652.52
Q9EPK2	XRP2_MOUSE	Rp2	Protein XRP2	20389.9	14864.2	17474.3	20886.1	18597.2	16383.4	17127.3	16152.3	18800	18129.5
Q9EPK7	XPO7_MOUSE	Xpo7	Exportin-7	123.639								427.964	
Q9EPL2	CSTN1_MOUSE	Clstn1	Calsyntenin-1	3888.98									
Q9EPL8	IPO7_MOUSE	Ipo7	Importin-7	5868.41		7262.79			8969.08		11476.1		
Q9EPN1	NBEA_MOUSE	Nbea	Neurobeachin	5760.24	6257.82	7403.12	9300.21	8952.99	7318.63	7899.92	6836.06	7343.44	7231.18
Q9EPQ8	TCF20_MOUSE	Tcf20	Transcription factor 20			4856.12			4538.99				
Q9EPR5	SORC2_MOUSE	Sorcs2	VPS10 domain-containing receptor SorCS2	4592.93		6874.01	4489.63	7491.05	7020.43	8956.67	7104.58	4917.32	6677.71
Q9EPU0	RENT1_MOUSE	Upf1	Regulator of nonsense transcripts 1	26423.1	9841.61	6047.93	7247.9	7983.14	7313.97	7256.86	7233.99	6833.24	6607.24
Q9EPU4	CPSF1_MOUSE	Cpsf1	Cleavage and polyadenylation specificity factor subunit 1	1002.79		1973.88							
Q9EPV8	UBL5_MOUSE	Ubl5	Ubiquitin-like protein 5	749.651		1842.74		3311.62				1063.4	1495.45
Q9EPW0	INP4A_MOUSE	Inpp4a	Inositol polyphosphate-4-phosphatase type I A	1916.76		2138.45					2181.08		
Q9EQ00	ROP1L_MOUSE	Ropn1l	Ropporin-1-like protein	120.648									
Q9EQF6	DPYL5_MOUSE	Dpysl5	Dihydropyrimidinase-related protein 5	13374.1	17365.5	13463.7	13459.7	16287.4	16683.3	15068.2	12687.7	12230.6	12954.8
Q9EQH3	VPS35_MOUSE	Vps35	Vacuolar protein sorting-associated protein 35	3763.84	9221.04	4109.6	3650.06	5353.61	5430.21	3063.76	6092.95	3346.21	3953.27
Q9EQI8	RM46_MOUSE	Mrpl46	Large ribosomal subunit protein mL46	2302.56		3116.82	3471.29			3052.31	2855.84	3655.5	3577.69
Q9EQJ9	MAGI3_MOUSE	Magi3	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3	27997.9	34561.5	26218.7	29134.3	37021.4	31228.3	27360	25375.8	26076	26855.1
Q9EQK5	MVP_MOUSE	Mvp	Major vault protein	2647.03		3978.15			6871.32	4291.72	4067.65	3414.64	4172.64
Q9EQN3	T22D4_MOUSE	Tsc22d4	TSC22 domain family protein 4	22332	19182.8	24236.2	24059.6	21322.2	20118.5	21596.3	17325.5	25128.6	22536
Q9EQQ9	OGA_MOUSE	Oga	Protein O-GlcNAcase	1758.3		2058.82	3783.14				2813.4	2922.96	
Q9EQS9	IGDC4_MOUSE	Igdcc4	Immunoglobulin superfamily DCC subclass member 4			11873.3		23951.5		20319.8		10246.6	
Q9EQZ6	RPGF4_MOUSE	Rapgef4	Rap guanine nucleotide exchange factor 4	53165.3	36455.2	44943.4	42568.4	43182.8	45080.5	43511.8	42921.7	44976.2	45896.2
Q9EQZ7	RIMS2_MOUSE	Rims2	Regulating synaptic membrane exocytosis protein 2	24119.9	31797.4	20223.5	20684.1	20653.1	19438.1	19582	19815.2	20325.5	18988.1
Q9ER00	STX12_MOUSE	Stx12	Syntaxin-12	3245.97									
Q9ER58	TICN2_MOUSE	Spock2	Testican-2	1045.58		892.934	1249.05	1384.41		2097.14	1103.07	1609.18	1029.38
Q9ER64	OSBL5_MOUSE	Osbpl5	Oxysterol-binding protein-related protein 5	330.955		488.579					524.733	482.714	
Q9ER72	SYCC_MOUSE	Cars1	Cysteine--tRNA ligase, cytoplasmic	3373.47						4046.55	6191.75		
Q9ER88	RT29_MOUSE	Dap3	Small ribosomal subunit protein mS29	8187.62	8448.55	8121.37	6593.34	7795.03	6795.85	8831.52	9000.14	8456.86	8300.98
Q9ERB0	SNP29_MOUSE	Snap29	Synaptosomal-associated protein 29	443.573									
Q9ERC8	DSCAM_MOUSE	Dscam	Cell adhesion molecule DSCAM	1036.73									2149.56
Q9ERD7	TBB3_MOUSE	Tubb3	Tubulin beta-3 chain	270947	263177	217790	207264	217781	213348	180162	182102	157022	163518
Q9ERE9	JIP2_MOUSE	Mapk8ip2	C-Jun-amino-terminal kinase-interacting protein 2	6453.11		7645.78	7497.37		7251.16	8151.32	6982.03	8824.68	8981.23
Q9ERG0	LIMA1_MOUSE	Lima1	LIM domain and actin-binding protein 1	18611.5	24376	20679.8	22033.9	22320.7	23102	22272.5	22611.2	23301.6	23124
Q9ERG2	STRN3_MOUSE	Strn3	Striatin-3	6250.51	9077.85	7100.2	8912.95	7058.24	9132.38	7784.69	8277.47	7451.16	7665.09
Q9ERI6	RDH14_MOUSE	Rdh14	Retinol dehydrogenase 14	627.087									
Q9ERK4	XPO2_MOUSE	Cse1l	Exportin-2	310.087									
Q9ERR1	NDEL1_MOUSE	Ndel1	Nuclear distribution protein nudE-like 1	5928.48	11952.8	6662.1	7611.31	6605.82	7746.97	6933.42	7914.2	7443.6	7443.66
Q9ERS2	NDUAD_MOUSE	Ndufa13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	10757.3	14327.8	10153.3	10532.9	10376.8	9825.05	10934.7	11961.4	10823.4	11017.8
Q9ERU9	RBP2_MOUSE	Ranbp2	E3 SUMO-protein ligase RanBP2	14609.8	63939.8	52840.9	48910.5	80976.3	44273.3	40836.6	26832.3	29148.9	22702.4
Q9ES28	ARHG7_MOUSE	Arhgef7	Rho guanine nucleotide exchange factor 7	9100.06	25736.4	19381.6	13031.9	28255.7	13635.7	27207.1	12793.7	17958.1	10903.8
Q9ES56	TPPC4_MOUSE	Trappc4	Trafficking protein particle complex subunit 4	10475		8518.07	10051.1	7630.76	12046.5	9560.62	7922.1	8451.4	
Q9ES89	EXTL2_MOUSE	Extl2	Exostosin-like 2	7075.66								10326.2	
Q9ES97	RTN3_MOUSE	Rtn3	Reticulon-3	11738	29239	15753.6	13252.1	15634.7	16527.3	16717	15060.1	14846.9	14474.9
Q9ESJ4	SPN90_MOUSE	Nckipsd	NCK-interacting protein with SH3 domain	132525	144550	155942	160300	141231	131504	149863	142107	170824	163271
Q9ESK3	CAN10_MOUSE	Capn10	Calpain-10	2439.9		2070.43				2291.32		2266.02	1877.86
Q9ESK9	RBCC1_MOUSE	Rb1cc1	RB1-inducible coiled-coil protein 1	3038.98	9681.93	3452.18	4287.33	8630.66	2933.07		3799.25	4910.67	6831.56
Q9ESN6	TRIM2_MOUSE	Trim2	Tripartite motif-containing protein 2	2247.17		2401.63	2769.64		3804.54	3837.55	2421.98	2353.93	3601.34
Q9ESN9	JIP3_MOUSE	Mapk8ip3	C-Jun-amino-terminal kinase-interacting protein 3	20459.9	24223.6	20066.9	19834.8	19387.9	21162.6	19487.7	20282.7	19023.3	19503
Q9ESP1	SDF2L_MOUSE	Sdf2l1	Stromal cell-derived factor 2-like protein 1	1085.45	8053.24								
Q9ESS0	DUS10_MOUSE	Dusp10	Dual specificity protein phosphatase 10	306.447									
Q9EST1	GSDMA_MOUSE	Gsdma	Gasdermin-A		19755.3		3642.16			5904.61	5396.19		
Q9ESU6	BRD4_MOUSE	Brd4	Bromodomain-containing protein 4			1864.95		2545.43					
Q9ESW4	AGK_MOUSE	Agk	Acylglycerol kinase, mitochondrial	8549.89	31543	12363.6	13939.9	14606.3	10794.6	10358.8	9880.84	10630.1	9598.51
Q9ESX5	DKC1_MOUSE	Dkc1	H/ACA ribonucleoprotein complex subunit DKC1	2556.38	5370.68	4722.06	3992.3	6553.01	4148.7	2921.98	2708.82	2535.81	2762.79
Q9ET43	CLD12_MOUSE	Cldn12	Claudin-12	2855.89		3532.62	4594.55	5866.53		4215.24	2955.3	2552.02	
Q9ET77	JPH3_MOUSE	Jph3	Junctophilin-3	12082.3	15086.6	9856.93	11499.8	9626.64	11839.9	11684.9	10669.3	9481.87	10548.6
Q9ET80	JPH1_MOUSE	Jph1	Junctophilin-1	2573.6		2435.05	3537.06	3032.48	2944.02	3348.9	3055.55	2487.81	2220.84
Q9JHJ0	TMOD3_MOUSE	Tmod3	Tropomodulin-3	4608.63	14750	6739.82	7160.07	7000.25	6735.12	7180.17	6890.95	7132.28	6283.53
Q9JHL1	NHRF2_MOUSE	Nherf2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2	1979.27		3370.01							
Q9JHQ0	ANXA9_MOUSE	Anxa9	Annexin A9								25053.2		
Q9JHR7	IDE_MOUSE	Ide	Insulin-degrading enzyme	2034.71	10815.9	2729.98	4020.08	4658.85	6123.67	13916.4	14624.2	2880.16	2538.96
Q9JHS3	LTOR2_MOUSE	Lamtor2	Ragulator complex protein LAMTOR2	1476.89						2982.91	2297.59	1676.39	
Q9JHU4	DYHC1_MOUSE	Dync1h1	Cytoplasmic dynein 1 heavy chain 1	73028.8	69254.6	68877.7	67441.8	69492.9	74299.6	62007.6	68154.2	66806.6	65679.4
Q9JHW4	SELB_MOUSE	Eefsec	Selenocysteine-specific elongation factor	2256.78									
Q9JI11	STK4_MOUSE	Stk4	Serine/threonine-protein kinase 4	1695.85									
Q9JI18	LRP1B_MOUSE	Lrp1b	Low-density lipoprotein receptor-related protein 1B	5151.29									
Q9JI19	FIBP_MOUSE	Fibp	Acidic fibroblast growth factor intracellular-binding protein	3342.51		3702.18			4496.49		3366.47	5098.64	
Q9JI46	NUDT3_MOUSE	Nudt3	Diphosphoinositol polyphosphate phosphohydrolase 1	382.456							511.095	608.956	
Q9JI91	ACTN2_MOUSE	Actn2	Alpha-actinin-2	206645	163757	228994	216205	197825	206808	224581	255099	264929	246388
Q9JIA1	LGI1_MOUSE	Lgi1	Leucine-rich glioma-inactivated protein 1	21022.9	19970.6	20920.1	21515.8	17664.8	19401.6	18627.4	18014.9	17775.1	18204.9
Q9JIA7	SPHK2_MOUSE	Sphk2	Sphingosine kinase 2	2810.03		10670.3							
Q9JIF0	ANM1_MOUSE	Prmt1	Protein arginine N-methyltransferase 1	15949.9	29312	18124.8	19826.1	16309	19123.5	18814	18956.4	18660.9	18797.6
